,alpha,beta,beta_normalized,gamma,n_neurons,n_samples,n_seeds,n_threads,silent,t_max,test_every,which_C
04336da277f609bd,0.0,2500.0,1.0,2,50,0,8,8,False,100000,100,null
04703120a401c0df,10.0,2500.0,1.0,0,50,500,8,8,False,40000,100,null
06fc33200b7de500,0.0,2500.0,1.0,3.5,50,0,8,8,False,100000,100,null
16a3691dc787dc40,100.0,2500.0,1.0,40.0,50,500,8,8,False,100000,100,null
17997e81004cbb60,0.0,2500.0,1.0,0.5,50,0,8,8,False,100000,100,null
1a6d744921e6d990,1000.0,2500.0,1.0,40.0,50,500,8,8,False,100000,100,null
1c3fab45577185af,1.0,2500.0,1.0,40.0,50,500,8,8,False,100000,100,null
1fe3054227ea29cf,0.0,2500.0,1.0,1.7,50,0,8,8,False,100000,100,null
4154fb48bf5dabf1,0.0,2500.0,1.0,100.0,50,0,8,8,False,100000,100,null
43f8b340c80e26f3,0.0,2500.0,1.0,0.6,50,0,8,8,False,100000,100,null
4d750eac11233d0e,10.0,2500.0,1.0,10,50,500,8,8,False,200000,100,null
4f50cd188d8ed3f3,10.0,2500.0,1.0,100,50,500,8,8,False,40000,100,null
51fa63eedf5712ea,10.0,2500.0,1.0,1000,50,500,8,8,False,200000,100,null
6d2a3f0d2afeb11f,3.0,2500.0,1.0,40.0,50,500,8,8,False,100000,100,null
750bd4077fd03f5a,10.0,2500.0,1.0,100,50,500,8,8,False,200000,100,null
7dd0a314a0296953,0.0,2500.0,1.0,0.2,50,0,8,8,False,100000,100,null
8210e25caf0e5e64,0.1,2500.0,1.0,40.0,50,500,8,8,False,100000,100,null
9a7a75d153257fb2,10.0,2500.0,1.0,0,50,500,8,8,False,200000,100,null
a8f1dd5edcb4912d,0.0,2500.0,1.0,4.0,50,0,8,8,False,100000,100,null
b58818dc2221563b,10.0,2500.0,1.0,3,50,500,8,8,False,40000,100,null
c1320d47c32b128c,0.0,2500.0,1.0,1.2,50,0,8,8,False,100000,100,null
d8e9fceb12a92d9d,0.0,2500.0,1.0,0.9,50,0,8,8,False,100000,100,null
e3f1f9a49fc5cc5f,0.0,2500.0,1.0,1.1,50,0,8,8,False,100000,100,null
f32da4303804adb4,0.0,2500.0,1.0,1.0,50,0,8,8,False,100000,100,null
f3d4cad4db59b5d3,0.0,2500.0,1.0,10.0,50,0,8,8,False,100000,100,null
